runnum,polarity,current,yield,yield_err
24205,-,25,25307.7496649953,60.44358081965127
24221,-,12,25375.174612485673,52.872405765591246
24256,-,35,25217.849594593077,53.62587574150719
24284,-,50,25472.280416119433,57.41078682198307
24285,-,40,25412.525956576468,55.38641016481564
24286,-,30,25353.88990025608,53.20006095619217
24287,-,20,25417.12486194592,50.91772137085475
24289,-,10,25416.880230778588,48.522995031481834
24537,+,35,2365.2344479801973,57.91301462138959
24541,+,35,2381.955751057443,16.192170239942577
24573,+,35,2382.1507532663404,18.60601083114724
24626,-,40,25405.576937316564,52.66357551018254
