runnum,polarity,current,yield,yield_err
23925,-,15,9336.177855124979,26.070268804711016
23968,-,20,9397.938744113031,21.77368874972168
24118,-,20,9466.738545019758,24.958835413846458
24235,-,20,9499.47023140584,22.505159546042865
24340,-,20,9511.6849172556,22.79773748305442
24465,-,10,9552.030046976011,32.73912872096262
24466,-,10,9464.19225934993,71.72930807372998
24546,+,40,916.2249425230041,5.69908901663133
24577,+,40,940.7102708355692,7.986473237187343
24644,-,40,9454.0938318845,16.998048337183747
24711,-,40,9506.306966487102,22.263746630364786
24763,-,40,9412.739437992312,21.786005542227286
24800,-,40,9524.841953157678,16.700613884986485
