runnum,polarity,current,yield,yield_err
24895,-,40,64023.451027504896,73.67261352028447
24925,-,40,63865.6044916373,79.470799735387
24983,-,20,64190.36693300365,73.36185665959565
25028,-,40,63590.56435773075,74.84304546515372
25057,-,40,63728.23439349788,76.23769073506469
25094,-,20,64173.12049733245,75.49407951381927
25136,-,40,64027.710218646185,84.22548146380929
25137,-,40,63966.8029896873,209.41342231278782
25155,-,40,63662.79235147609,94.8324216369223
25215,-,40,63881.26827516983,76.25593582315985
25243,-,40,63916.40347774562,70.67787215251664
25270,-,40,63998.95755597655,71.82289762427759
25294,-,40,63905.30974804469,79.48735180576287
25369,-,40,63949.14201677177,75.27044406020727
