runnum,polarity,current,yield,yield_err
24905,-,50,81048.83401841568,98.21489591496244
24906,-,50,81257.93011168623,174.6049616450287
24936,-,40,81063.3846208525,101.44405434639017
24996,-,17,81608.96793057313,98.98877724889147
25042,-,45,80606.40332522051,106.37339809647432
25106,-,21,81481.43947806972,103.73675355229439
25253,-,50,80799.81900968336,95.26565104497855
25278,-,55,80904.02594570593,98.67636133786063
25302,-,47,80878.10334529974,103.15925170730358
25378,-,60,80841.10896380183,116.94690681271838
25461,+,50,740.3017924299286,10.191929419816205
25470,+,18,759.7572681284192,11.379019229127765
