runnum,polarity,current,yield,yield_err
23909,-,10,13293.915569033496,27.15884658983989
24017,-,13,13450.609669849458,25.38189750700971
24083,-,30,13553.193565336702,23.42635401533351
24136,-,10,13413.989622798943,36.11853879518728
24183,-,30,13568.637380295571,23.85077284069611
24184,-,10,13460.764554533187,37.796227927784294
24198,-,17,13580.897621857477,34.21054665150484
24231,-,17,13570.77263119205,30.856295215819802
24265,-,17,13561.200361087513,30.034647290019418
24295,-,20,13676.605292372757,37.139329307103
24296,-,30,13597.915779920088,30.10157012290317
24297,-,40,13725.012979306955,65.39725606412047
24298,-,40,13675.057111899237,36.96622998606846
24299,-,50,13597.661640873343,42.467609309205976
24544,+,50,1143.8651552227561,8.53963688541263
24575,+,35,1173.5811135548006,9.569816980513707
24637,-,16,13610.697610787036,23.71262850263317
24705,-,55,13556.143540618543,25.0753504204599
24750,-,55,13533.703412407842,23.07054805571784
24792,-,55,13564.242413558253,21.7052328768341
