runnum,polarity,current,yield,yield_err
24891,-,55,86434.43395714882,96.34413260519472
24922,-,38,87282.72953887102,99.6900567405931
24978,-,18,88437.35596594245,102.75206044657152
25021,-,47,86467.61732763181,102.11410543727949
25054,-,37,87215.12146522877,101.53167922570627
25089,-,18,88035.68668328445,112.31079196984643
25132,-,24,87791.63643079897,92.21942829699402
25133,-,24,87335.63456638908,152.74724710321962
25152,-,25,87882.56780785497,147.46331371089397
25186,-,25,87842.39375446725,95.10328906648034
25212,-,16,88268.93464596284,113.89786478900041
25238,-,25,88088.27477245852,92.0525965200662
25267,-,28,87857.73216141539,99.65550625275797
25291,-,21,87913.92346425682,95.77367709434661
25335,-,10,89089.07266949234,101.54376382259846
25361,-,30,88023.43586587266,98.84379263988397
25391,-,30,88071.51652716646,100.30904915318888
25399,-,35,87987.64781323876,181.44714523526983
25400,-,45,87597.84000978933,188.54689420549425
25401,-,60,87722.9671484775,188.3712303597176
25402,-,60,87079.26572012917,174.61381938465811
25403,-,45,87588.04675391043,205.1388581309275
25404,-,35,87794.82356403375,199.91042584335312
25405,-,20,88416.16484792347,225.42458141935143
25408,-,20,88131.30195206676,233.09939386047984
25409,-,35,87564.9848700826,187.23764846042772
25410,-,45,86953.80566832986,195.60638924358494
25411,-,60,85998.14736615877,164.6884905867774
25412,-,60,84484.02299386462,161.3993131530787
25413,-,45,86493.63509151909,181.58873962255754
25414,-,35,87600.29169561174,163.0580863468438
25415,-,20,88338.65709954708,173.5654129389468
25418,-,10,88105.70956038326,186.1435772881698
25420,-,10,86897.95074884956,184.11698509797375
25421,-,10,85816.62911208543,183.90915094199656
25422,-,10,82828.13764095615,161.95575433144901
25431,-,30,88043.07873949477,102.36370169484232
25456,+,45,344.3488791841268,6.101603119384941
