24309	07/28	07:30	8.565	3	Carbon	-1.531	7.87	-1,-1,-1,0,-1,-1
24319	07/28	13:46	8.565	7	LD2	-1.531	7.87	-1,-1,-1,0,-1,-1
24333	07/28	20:48	8.565	10	LH2	-1.531	7.87	-1,-1,-1,0,-1,-1
24340	07/29	01:00	8.565	20	Dummy	-1.531	7.87	-1,-1,-1,0,-1,-1
24350	07/29	06:11	8.565	13	Carbon	-1.531	7.87	-1,-1,-1,0,-1,-1
24361	07/29	12:06	8.565	28	Copper	-1.531	7.87	-1,-1,-1,0,-1,-1
24373	07/29	18:33	8.565	25	Aluminum	-1.531	7.87	-1,-1,-1,0,-1,-1
24375	07/29	19:05	8.565	25	Aluminum	-1.531	7.87	-1,-1,3,-1,-1,-1
24438	08/01	03:08	8.565	8	LD2	-1.531	7.87	-1,-1,-1,0,-1,-1
24440	08/01	03:28	8.565	8	LD2	-1.531	7.87	-1,-1,4,-1,-1,-1
24455	08/01	14:56	8.565	8	LH2	-1.531	7.87	-1,-1,-1,0,-1,-1
24456	08/01	15:11	8.565	8	LH2	-1.531	7.87	-1,-1,3,-1,-1,-1
24465	08/01	18:20	8.565	10	Dummy	-1.531	7.87	-1,-1,-1,0,-1,-1
24466	08/01	18:39	8.565	10	Dummy	-1.531	7.87	-1,-1,3,-1,-1,-1
24481	08/02	01:54	8.565	6	Carbon	-1.531	7.87	-1,-1,-1,0,-1,-1
24482	08/02	02:35	8.565	6	Carbon	-1.531	7.87	-1,-1,0,-1,-1,-1
24483	08/02	02:49	8.565	6	Carbon	-1.531	7.87	-1,-1,3,-1,-1,-1
24495	08/02	08:18	8.565	6	Copper	-1.531	7.87	-1,-1,-1,0,-1,-1
24496	08/02	09:09	8.565	6	Copper	-1.531	7.87	-1,-1,0,-1,-1,-1
24498	08/02	09:47	8.565	6	Copper	-1.531	7.87	-1,-1,3,-1,-1,-1
24537	08/03	12:09	8.565	35	LD2	+1.531	7.87	-1,-1,-1,2,-1,-1
24541	08/03	14:11	8.565	35	LD2	+1.531	7.87	-1,-1,-1,2,-1,-1
24544	08/03	15:17	8.565	50	LH2	+1.531	7.87	-1,-1,-1,2,-1,-1
24546	08/03	16:11	8.565	40	Dummy	+1.531	7.87	-1,-1,-1,0,-1,-1
24549	08/03	17:02	8.565	50	Carbon	+1.531	7.87	-1,-1,-1,2,-1,-1
24551	08/03	18:00	8.565	50	Copper	+1.531	7.87	-1,-1,-1,2,-1,-1
24573	08/04	11:16	8.565	35	LD2	+1.531	7.87	-1,-1,-1,2,-1,-1
24575	08/04	12:21	8.565	35	LH2	+1.531	7.87	-1,-1,-1,1,-1,-1
24577	08/04	13:18	8.565	40	Dummy	+1.531	7.87	-1,-1,-1,1,-1,-1
24579	08/04	14:09	8.565	35	Carbon	+1.531	7.87	-1,-1,-1,1,-1,-1
24581	08/04	15:03	8.565	35	Copper	+1.531	7.87	-1,-1,-1,1,-1,-1
24626	08/07	02:00	8.565	40	LD2	-1.531	11.07	-1,-1,-1,2,-1,-1
24637	08/07	08:44	8.565	16	LH2	-1.531	11.07	-1,-1,-1,1,-1,-1
24644	08/07	21:29	8.565	40	Dummy	-1.531	11.07	-1,-1,-1,0,-1,-1
24652	08/08	01:45	8.565	48	Carbon	-1.531	11.07	-1,-1,-1,2,-1,-1
24663	08/08	07:29	8.565	48	Copper	-1.531	11.07	-1,-1,-1,1,-1,-1
24705	08/09	11:04	8.565	55	LH2	-1.531	11.07	-1,-1,-1,1,-1,-1
24711	08/09	14:43	8.565	40	Dummy	-1.531	11.07	-1,-1,-1,1,-1,-1
24750	08/10	19:44	8.565	55	LH2	-1.531	14.37	-1,-1,-1,1,-1,-1
24763	08/11	02:25	8.565	40	Dummy	-1.531	14.37	-1,-1,-1,-1,-1,-1
