#Run#	date	tstart	ebeam	Ibeam	target	HMSp	HMSth	SHMSp	SHMSth	ps1,ps2,ps3,ps4,ps5,ps6	runtype	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	hELREAL	TrackEff	# comments
25308	08/26	19:12	10.6716	25	Aluminum	-3.642	16.75	+3.632	10.305	-1,-1,-1,0,-1,-1	HMSDIS	22249.724	-1	1	0.9948523459893914	2089369	2100180	0.9985	# 0
25472	08/30	20:45	10.6716	18	Aluminum	+3.642	16.75	+2.615	10.31	-1,-1,-1,1,-1,-1	HMSDIS	34597.401	-1	2	0.9955952448504795	1263267	2537712	0.9891	# 0
