#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	xbj	fan_mean	boilcorr	# Comments
24900	08/15	05:53	10.6716	50	C	-3.642	16.750	+6.538	7.510	-1,-1,-1,4,-1,-1	HMSDIS	51536.678	-1.0	+9.0	0.999	1835930	16543273	0.9983	+9.026185	7.030	3.298	0.031	0.250	34.1277	1.0	# 0
24931	08/16	13:12	10.6716	35	C	-3.642	16.750	+4.868	7.510	-1,-1,-1,3,-1,-1	HMSDIS	33003.584	-1.0	+5.0	1.000	2104487	10527632	0.9983	+5.010988	7.030	3.298	0.031	0.250	33.4417	1.0	# 0
24989	08/17	19:36	10.6716	15	C	-3.642	16.750	+3.632	7.510	-1,-1,-1,1,-1,-1	HMSDIS	13221.911	-1.0	+2.0	0.997	2105737	4225089	0.9985	+2.009480	7.030	3.298	0.031	0.250	33.6968	1.0	# 0
25036	08/19	18:17	10.6716	42	C	-3.642	16.750	-6.538	7.510	-1,-1,-1,3,-1,-1	HMSDIS	31015.486	-1.0	+5.0	0.999	1964860	9836225	0.9983	+5.014594	7.030	3.298	0.031	0.250	33.8068	1.0	# 0
25101	08/21	20:27	10.6716	18	C	-3.642	16.750	-3.632	7.510	-1,-1,-1,1,-1,-1	HMSDIS	12612.621	-1.0	+2.0	0.998	1998584	4005699	0.9984	+2.007480	7.030	3.298	0.031	0.250	-999	1.0	# 0
25250	08/25	03:41	10.6716	25	C	-3.642	16.750	+6.538	10.305	-1,-1,-1,2,-1,-1	HMSDIS	23147.065	-1.0	+3.0	0.999	2484984	7464673	0.9984	+3.008726	7.030	3.298	0.031	0.250	32.1563	1.0	# 0
25274	08/25	18:54	10.6716	55	C	-3.642	16.750	+4.868	10.305	-1,-1,-1,4,-1,-1	HMSDIS	46311.001	-1.0	+9.0	0.999	1664266	14986576	0.9983	+9.020251	7.030	3.298	0.031	0.250	30.1994	1.0	# 0
25297	08/26	08:02	10.6716	37	C	-3.642	16.750	+3.632	10.305	-1,-1,-1,3,-1,-1	HMSDIS	18934.643	-1.0	+5.0	0.999	1219644	6103487	0.9983	+5.012840	7.030	3.298	0.031	0.250	30.1512	1.0	# 0
25373	08/28	23:33	10.6716	50	C	-3.642	16.750	+3.632	13.510	-1,-1,-1,2,-1,-1	HMSDIS	15353.075	-1.0	+3.0	0.997	1636021	4920588	0.9983	+3.012777	7.030	3.298	0.031	0.250	51.8618	1.0	# 0
25471	08/30	20:28	10.6716	18	C	+3.642	16.750	+2.615	10.315	-1,-1,-1,1,-1,-1	HMSDIS	13709.134	-1.0	+2.0	0.997	1911637	3835218	0.9873	+2.032055	7.030	3.298	0.031	0.250	47.2131	1.0	# 0
