#Run#	date	tstart	ebeam	Ibeam	target	HMSp	HMSth	SHMSp	SHMSth	ps1,ps2,ps3,ps4,ps5,ps6	runtype	# comments
23938	07/19	03:26	8.5831	10	Copper	-1.531	29.06	-2.615	7.87	-1,-1,-1,0,-1,-1	HMSDIS	# 0
23976	07/20	00:17	8.5831	15	Copper	-1.531	29.06	-6.538	7.87	-1,-1,-1,0,-1,-1	HMSDIS	# HMS SINGLE;current recorded as 10,15uA
24052	07/21	22:35	8.5831	20	Copper	-1.531	29.05	-4.868	7.87	-1,-1,-1,0,-1,-1	HMSDIS	# 0
24148	07/24	14:29	8.5831	15	Copper	-1.531	29.05	-3.632	7.87	-1,-1,-1,-1,-1,0	HMSDIS	# 0
24212	07/25	22:45	8.5831	50	Copper	-1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1	HMSDIS	# 0
24249	07/26	18:46	8.5831	50	Copper	-1.531	29.05	+4.868	7.87	-1,-1,-1,1,-1,-1	HMSDIS	# 0
24361	07/29	12:06	8.5831	28	Copper	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1	HMSDIS	# 0
24495	08/02	08:18	8.5831	6	Copper	-1.531	29.05	+2.615	7.87	-1,-1,-1,0,-1,-1	HMSDIS	# 0
24496	08/02	09:09	8.5831	6	Copper	-1.531	29.05	+2.615	7.87	-1,-1,0,-1,-1,-1	HMSDIS	# 0
24498	08/02	09:47	8.5831	6	Copper	-1.531	29.05	+2.615	7.87	-1,-1,3,-1,-1,-1	HMSDIS	# 0
24551	08/03	18:00	8.5831	50	Copper	+1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1	HMSDIS	# 0
24581	08/04	15:03	8.5831	35	Copper	+1.531	29.05	-6.538	7.87	-1,-1,-1,1,-1,-1	HMSDIS	# 0
24663	08/08	07:29	8.5831	48	Copper	-1.531	29.05	+3.632	11.07	-1,-1,-1,1,-1,-1	HMSDIS	# 0
