#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	corr_coeff	# Comments
25404	08/29	13:25	10.6716	35	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,3,-1,-1	HMSDIS	11001.793	-1.0	+5.0	1.000	524613	2618007	0.9984	+5.008013	7.030	3.298	0.031	-999	# Fan speed scan: 43 Hz, 35 uA
25405	08/29	13:32	10.6716	20	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,2,-1,-1	HMSDIS	5227.600	-1.0	+3.0	1.000	417785	1249432	0.9985	+3.004507	7.030	3.298	0.031	-999	# Fan speed scan: 43 Hz, 20 uA
25406	08/29	13:38	10.6716	10	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,0,-1,-1	HMSDIS	3143.124	-1.0	+1.0	0.995	752436	756500	0.9985	+1.006911	7.030	3.298	0.031	-999	# Fan speed scan: 43 Hz, 10 uA
25407	08/29	13:46	10.6716	10	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,0,-1,-1	HMSDIS	3486.873	-1.0	+1.0	0.993	832873	838384	0.9986	+1.008028	7.030	3.298	0.031	-999	# Fan speed scan: 35 Hz, 10 uA
25408	08/29	13:53	10.6716	20	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,1,-1,-1	HMSDIS	3258.292	-1.0	+2.0	0.997	388856	779972	0.9985	+2.008825	7.030	3.298	0.031	-999	# Fan speed scan: 35 Hz, 20 uA
25409	08/29	13:59	10.6716	35	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,2,-1,-1	HMSDIS	7524.825	-1.0	+3.0	0.997	594018	1786541	0.9983	+3.012675	7.030	3.298	0.031	-999	# Fan speed scan: 35 Hz, 35 uA
25410	08/29	14:06	10.6716	45	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,3,-1,-1	HMSDIS	11402.192	-1.0	+5.0	0.998	538182	2695334	0.9982	+5.017251	7.030	3.298	0.031	-999	# Fan speed scan: 35 Hz, 45 uA
25411	08/29	14:12	10.6716	60	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,3,-1,-1	HMSDIS	15911.489	-1.0	+5.0	0.998	742963	3722001	0.9983	+5.018203	7.030	3.298	0.031	-999	# Fan speed scan: 35 Hz, 60 uA
25412	08/29	14:18	10.6716	60	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,3,-1,-1	HMSDIS	16272.169	-1.0	+5.0	0.998	744435	3729113	0.9984	+5.017348	7.030	3.298	0.031	-999	# Fan speed scan: 30 Hz, 60 uA
25413	08/29	14:12	10.6716	45	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,3,-1,-1	HMSDIS	13136.261	-1.0	+5.0	1.000	616300	3073969	0.9984	+5.008013	7.030	3.298	0.031	-999	# Fan speed scan: 30 Hz, 45 uA
25414	08/29	14:24	10.6716	35	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,2,-1,-1	HMSDIS	9920.067	-1.0	+3.0	0.998	784780	2359336	0.9985	+3.010882	7.030	3.298	0.031	-999	# Fan speed scan: 30 Hz, 35 uA
25415	08/29	15:00	10.6716	20	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,1,-1,-1	HMSDIS	5893.378	-1.0	+2.0	0.997	702393	1409510	0.9985	+2.009740	7.030	3.298	0.031	-999	# Fan speed scan: 30 Hz, 20 uA
25416	08/29	15:06	10.6716	10	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,0,-1,-1	HMSDIS	2424.514	-1.0	+1.0	0.993	580646	584567	0.9985	+1.008265	7.030	3.298	0.031	-999	# Fan speed scan: 30 Hz, 10 uA
25417	08/29	15:12	10.6716	10	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,0,-1,-1	HMSDIS	2790.899	-1.0	+1.0	0.993	667798	672349	0.9984	+1.008428	7.030	3.298	0.031	-999	# Fan speed scan: 25 Hz, 10 uA
25418	08/29	15:19	10.6716	10	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,1,-1,-1	HMSDIS	5110.749	-1.0	+2.0	0.997	608110	1220413	0.9985	+2.009910	7.030	3.298	0.031	-999	# Fan speed scan: 25 Hz, 20 uA
25420	08/29	15:25	10.6716	10	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,2,-1,-1	HMSDIS	7703.393	-1.0	+3.0	1.000	605958	1817674	0.9983	+3.005109	7.030	3.298	0.031	-999	# Fan speed scan: 25 Hz, 35 uA
25421	08/29	15:32	10.6716	10	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,3,-1,-1	HMSDIS	12732.863	-1.0	+5.0	0.998	592087	2965954	0.9982	+5.018354	7.030	3.298	0.031	-999	# Fan speed scan: 25 Hz, 45 uA
25422	08/29	15:38	10.6716	10	LH2	-3.642	16.750	+3.632	16.810	-1,-1,-1,3,-1,-1	HMSDIS	15831.131	-1.0	+5.0	0.999	710127	3554053	0.9983	+5.013336	7.030	3.298	0.031	-999	# Fan speed scan: 25 Hz, 60 uA
25431	08/29	20:32	10.6716	30	LH2	-3.642	16.750	-3.632	16.810	-1,-1,-1,2,-1,-1	HMSDIS	25313.762	-1.0	+3.0	0.997	2011271	6049628	0.9984	+3.012683	7.030	3.298	0.031	-999	# 0
25456	08/30	11:16	10.6716	45	LH2	+3.642	16.750	-3.632	10.310	-1,-1,-1,2,-1,-1	HMSDIS	28125.940	-1.0	+3.0	0.999	1976466	5938033	0.9880	+3.040859	7.030	3.298	0.031	-999	# 0
