bin_center,counts,errors
2.7060000000000004,69.0,8.306623862918075
2.718,85.0,9.219544457292887
2.73,133.0,11.532562594670797
2.742,149.0,12.206555615733702
2.754,238.0,15.427248620541512
2.766,299.0,17.291616465790582
2.778,452.0,21.2602916254693
2.79,577.0,24.020824298928627
2.8020000000000005,708.0,26.60826939130014
2.814,940.0,30.659419433511783
2.826,1095.0,33.090784215548595
2.838,1303.0,36.09709129556009
2.8500000000000005,1389.0,37.26929030716845
2.862,1649.0,40.607881008493905
2.874,1853.0,43.04648650006177
2.886,2131.0,46.16275555033516
2.898,2287.0,47.82258880487337
2.91,2393.0,48.91829923454004
2.9220000000000006,2613.0,51.11751167652823
2.934,2862.0,53.49766350038102
2.9460000000000006,2994.0,54.71745608121781
2.958,3266.0,57.148928248918196
2.97,3411.0,58.40376700179535
2.982,3630.0,60.249481325568276
2.994,3734.0,61.106464469808756
3.0060000000000002,3908.0,62.51399843235114
3.018,4068.0,63.7808748764079
3.0300000000000002,4229.0,65.03076195155643
3.042,4272.0,65.36053855347276
3.054,4372.0,66.12110101926616
3.066,4449.0,66.70082458260917
3.078,4592.0,67.76429738438966
3.09,4576.0,67.64613810115105
3.102,4798.0,69.26759704219572
3.114,4877.0,69.83552104767315
3.1260000000000003,4964.0,70.45565981523414
3.138,4936.0,70.25667228100119
3.1500000000000004,5181.0,71.97916365171243
3.162,5145.0,71.72865536171719
3.1740000000000004,5353.0,73.16419889536138
3.186,5286.0,72.70488291717415
3.1980000000000004,5596.0,74.80641683706017
3.21,5637.0,75.07995737878386
3.2220000000000004,5473.0,73.97972695272672
3.234,5639.0,75.09327533141699
3.2460000000000004,5598.0,74.81978348003956
3.258,5660.0,75.2329714952161
3.27,5525.0,74.33034373659252
3.282,5563.0,74.58552138317464
3.294,5683.0,75.38567503179898
3.306,5388.0,73.40299721401027
3.3179999999999996,5454.0,73.85120175054702
3.33,5345.0,73.10950690573696
3.342,5289.0,72.72551134230683
3.354,5211.0,72.18725649309579
3.3659999999999997,5124.0,71.58212067269312
3.378,5023.0,70.87312607751969
3.39,4948.0,70.3420215802759
3.402,4852.0,69.65629906907199
3.4139999999999997,4725.0,68.7386354243376
3.426,4597.0,67.80117993073571
3.438,4542.0,67.39436178197698
3.45,4222.0,64.97691897897283
3.4619999999999997,4134.0,64.29618962271404
3.474,4164.0,64.52906321960671
3.4859999999999998,3874.0,62.24146527838174
3.498,3821.0,61.814237842102365
3.51,3587.0,59.89156868875618
3.5220000000000002,3570.0,59.74947698515862
3.534,3430.0,58.56620185738529
3.546,3294.0,57.39337940912697
3.558,3210.0,56.65686189686118
3.5700000000000003,2979.0,54.58021619598075
3.582,2920.0,54.037024344425184
3.594,2714.0,52.09606511052442
3.606,2616.0,51.146847410177685
3.6180000000000003,2524.0,50.23942674832188
3.63,2409.0,49.08156476723211
3.6419999999999995,2315.0,48.11444689487763
3.654,2233.0,47.25462940284264
3.6660000000000004,2142.0,46.281745861624536
3.678,1877.0,43.32435804486894
3.69,1820.0,42.661458015403085
3.702,1747.0,41.79712908801273
3.714,1689.0,41.09744517606904
3.726,1580.0,39.74921382870358
3.738,1457.0,38.17066936798463
3.75,1384.0,37.20215047547655
3.762,1242.0,35.24202037341219
3.774,1160.0,34.058772731852805
3.7859999999999996,1160.0,34.058772731852805
3.798,953.0,30.870698080866262
3.81,939.0,30.643106892089126
3.822,813.0,28.513154858766505
3.834,753.0,27.440845468024488
3.846,679.0,26.057628441590765
3.8579999999999997,594.0,24.372115213907882
3.87,508.0,22.538855339169288
3.882,442.0,21.02379604162864
3.894,402.0,20.049937655763422
