bin_center,counts,errors
0.2005,49.0,7.0
0.2015,83.0,9.1104335791443
0.2025,118.0,10.862780491200215
0.20350000000000001,143.0,11.958260743101398
0.20450000000000002,213.0,14.594519519326424
0.20550000000000002,295.0,17.175564037317667
0.2065,441.0,21.0
0.20750000000000002,599.0,24.474476501040833
0.20850000000000002,722.0,26.870057685088806
0.20950000000000002,972.0,31.176914536239792
0.21050000000000002,1161.0,34.07345007480164
0.21150000000000002,1318.0,36.30426972134269
0.21250000000000002,1511.0,38.87158345115362
0.21350000000000002,1763.0,41.98809355043403
0.21450000000000002,1914.0,43.749285708454714
0.21550000000000002,2147.0,46.33573135281238
0.21650000000000003,2375.0,48.73397172404482
0.21750000000000003,2564.0,50.635955604688654
0.21850000000000003,2714.0,52.09606511052442
0.21950000000000003,2898.0,53.83307533477908
0.22050000000000003,3188.0,56.462376853972415
0.22150000000000003,3284.0,57.30619512757761
0.22250000000000003,3457.0,58.7962583843564
0.22350000000000003,3728.0,61.05735008989499
0.22450000000000003,3865.0,62.16912416947821
0.2255,3994.0,63.198101237299845
0.22649999999999998,4155.0,64.45928947793328
0.22749999999999998,4231.0,65.04613747179766
0.22849999999999998,4413.0,66.4304147209695
0.22949999999999998,4468.0,66.84309986827361
0.23049999999999998,4482.0,66.94774081326419
0.23149999999999998,4694.0,68.51277253184256
0.23249999999999998,4694.0,68.51277253184256
0.23349999999999999,4883.0,69.87846592477543
0.2345,4947.0,70.33491309442275
0.2355,5116.0,71.52621896899066
0.2365,5129.0,71.61703707917552
0.2375,5291.0,72.73926037567333
0.2385,5415.0,73.58668357794092
0.2395,5351.0,73.15052973150638
0.2405,5498.0,74.14849964766651
0.2415,5610.0,74.89993324429602
0.24250000000000002,5543.0,74.45132638173749
0.24350000000000002,5660.0,75.2329714952161
0.24450000000000002,5748.0,75.81556568409947
0.24550000000000002,5833.0,76.3740793725201
0.2465,5783.0,76.04603868710059
0.2475,5877.0,76.66159403508382
0.2485,5878.0,76.66811592833099
0.2495,5771.0,75.9670981412348
0.2505,5582.0,74.7127833774114
0.2515,5582.0,74.7127833774114
0.2525,5487.0,74.07428703673091
0.2535,5247.0,72.43617880589781
0.2545,5180.0,71.97221686178632
0.2555,5176.0,71.9444229944198
0.2565,4915.0,70.10706098532444
0.2575,4884.0,69.88562083862459
0.2585,4742.0,68.86218120274728
0.2595,4625.0,68.00735254367721
0.2605,4503.0,67.10439627923047
0.2615,4382.0,66.19667665374146
0.2625,4197.0,64.78425734698207
0.2635,4076.0,63.84355879804947
0.2645,3910.0,62.52999280345393
0.2655,3870.0,62.20932405998316
0.2665,3667.0,60.55575942881073
0.2675,3603.0,60.024994793835674
0.2685,3356.0,57.93099343184095
0.2695,3305.0,57.48912940721924
0.2705,3190.0,56.480084985771754
0.2715,2998.0,54.75399528801528
0.2725,2895.0,53.80520420925842
0.2735,2658.0,51.55579501860097
0.27449999999999997,2577.0,50.76416058598822
0.27549999999999997,2530.0,50.299105359837164
0.27649999999999997,2464.0,49.63869458396343
0.27749999999999997,2334.0,48.31148931672465
0.27849999999999997,2242.0,47.34976240700686
0.27949999999999997,2089.0,45.70557952810576
0.28049999999999997,2011.0,44.844174649557324
0.2815,1812.0,42.567593307585526
0.2825,1718.0,41.44876355212541
0.2835,1724.0,41.52107898405339
0.28450000000000003,1599.0,39.98749804626441
0.28550000000000003,1466.0,38.28837943815329
0.28650000000000003,1335.0,36.53765181289022
0.28750000000000003,1260.0,35.4964786985977
0.28850000000000003,1192.0,34.52535300326414
0.28950000000000004,1093.0,33.06055050963308
0.29050000000000004,1013.0,31.827660925679098
0.29150000000000004,919.0,30.315012782448235
0.29250000000000004,841.0,29.0
0.2935,747.0,27.331300737432898
0.2945,701.0,26.476404589747453
0.2955,583.0,24.145392935299274
0.2965,502.0,22.40535650240808
0.2975,442.0,21.02379604162864
0.2985,399.0,19.974984355438178
0.2995,379.0,19.467922333931785
