bin_center,counts,errors
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5,0.0,0.0
0.7,0.0,0.0
0.9,0.0,0.0
1.1,0.0,0.0
1.3,0.0,0.0
1.5,0.0,0.0
1.7,0.0,0.0
1.9,0.0,0.0
2.1,173.0,13.152946437965905
2.3,194.0,13.92838827718412
2.5,251.0,15.84297951775486
2.7,364.0,19.078784028338912
2.9000000000000004,460.0,21.447610589527216
3.1,588.0,24.24871130596428
3.3000000000000003,625.0,25.0
3.5,805.0,28.372521918222215
3.6999999999999997,1013.0,31.827660925679098
3.9,1262.0,35.52463933666322
4.1,1370.0,37.013511046643494
4.300000000000001,1673.0,40.90232267243512
4.5,1992.0,44.63182720884279
4.7,2311.0,48.07286136688766
4.9,2633.0,51.31276644267
5.1,3016.0,54.91812087098393
5.300000000000001,3499.0,59.15234568468101
5.5,3928.0,62.67375846396959
5.7,4389.0,66.24952830020754
5.9,4784.0,69.16646586316233
6.1,5343.0,73.09582751429797
6.300000000000001,5731.0,75.70336848516055
6.5,6314.0,79.46068210127572
6.700000000000001,6553.0,80.95060222135473
6.9,7059.0,84.01785524517987
7.1,7544.0,86.85620300243386
7.3,7906.0,88.91569040388767
7.5,8445.0,91.89668111526117
7.7,8524.0,92.32551110067033
7.9,8718.0,93.3702308018996
8.1,9020.0,94.97368056467013
8.3,9132.0,95.56149852320232
8.5,9003.0,94.88413987595608
8.7,9408.0,96.99484522385713
8.9,9256.0,96.20810776644555
9.100000000000001,9085.0,95.31526635329726
9.3,9141.0,95.60857702110204
9.5,8989.0,94.81033698917012
9.7,8883.0,94.24966843443005
9.9,8536.0,92.39047569960877
10.1,8132.0,90.17760254076397
10.3,8245.0,90.80198235721508
10.5,7669.0,87.5728268357257
10.700000000000001,7361.0,85.7962703152066
10.9,6994.0,83.6301381082203
11.100000000000001,6636.0,81.4616474176652
11.3,6146.0,78.39642849007855
11.5,5795.0,76.12489737267302
11.7,5469.0,73.95268757793728
11.899999999999999,4956.0,70.39886362719217
12.1,4577.0,67.65352910233139
12.3,4125.0,64.22616289332565
12.5,3842.0,61.98386886924694
12.7,3415.0,58.43800133474792
12.9,3232.0,56.85068161420758
13.100000000000001,2827.0,53.16954015223378
13.3,2510.0,50.0999001995014
13.5,2297.0,47.92702786528704
13.7,1981.0,44.50842616853577
13.899999999999999,1816.0,42.61455150532503
14.1,1594.0,39.92492955535426
14.299999999999999,1460.0,38.2099463490856
14.5,1172.0,34.23448553724738
14.7,1064.0,32.61901286060018
14.9,930.0,30.495901363953813
15.1,789.0,28.089143810376278
15.3,644.0,25.37715508089904
15.5,591.0,24.310491562286437
15.700000000000001,499.0,22.338307903688676
15.9,448.0,21.166010488516726
16.1,368.0,19.183326093250876
16.3,320.0,17.88854381999832
16.5,297.0,17.233687939614086
16.7,234.0,15.297058540778355
16.9,224.0,14.966629547095765
17.1,176.0,13.2664991614216
17.299999999999997,172.0,13.114877048604
17.5,141.0,11.874342087037917
17.700000000000003,127.0,11.269427669584644
17.9,133.0,11.532562594670797
18.1,108.0,10.392304845413264
18.3,98.0,9.899494936611665
18.5,104.0,10.198039027185569
18.7,96.0,9.797958971132712
18.9,83.0,9.1104335791443
19.1,81.0,9.0
19.299999999999997,79.0,8.888194417315589
19.5,64.0,8.0
19.700000000000003,82.0,9.055385138137417
19.9,72.0,8.48528137423857
