bin_center,counts,errors
-0.98875,335.0,18.303005217723125
-0.96625,366.0,19.131126469708992
-0.94375,376.0,19.390719429665317
-0.9212499999999999,363.0,19.05255888325765
-0.8987499999999999,437.0,20.904544960366874
-0.87625,445.0,21.095023109728988
-0.85375,471.0,21.702534414210707
-0.83125,559.0,23.643180835073778
-0.8087500000000001,527.0,22.956480566497994
-0.7862500000000001,571.0,23.895606290697042
-0.7637499999999999,614.0,24.779023386727733
-0.74125,664.0,25.768197453450252
-0.71875,760.0,27.568097504180443
-0.69625,818.0,28.600699292150182
-0.67375,856.0,29.257477676655586
-0.6512499999999999,886.0,29.765752132274432
-0.6287499999999999,947.0,30.773365106858236
-0.60625,1090.0,33.015148038438355
-0.58375,1043.0,32.29551052391029
-0.56125,1202.0,34.66987164671943
-0.5387500000000001,1305.0,36.124783736376884
-0.5162500000000001,1452.0,38.1051177665153
-0.49375,1475.0,38.40572873934304
-0.47125,1578.0,39.72404813208241
-0.44875,1829.0,42.76680956068619
-0.42625,1860.0,43.12771730569565
-0.40374999999999994,2045.0,45.221676218380054
-0.38125,2245.0,47.38143096192854
-0.35874999999999996,2452.0,49.51767361255979
-0.33624999999999994,2697.0,51.93264869039514
-0.31375,2839.0,53.28226721902888
-0.2912499999999999,3150.0,56.124860801609124
-0.26874999999999993,3388.0,58.20652884342099
-0.24624999999999989,3854.0,62.080592780675026
-0.22374999999999995,3980.0,63.08724118235002
-0.20125000000000004,4414.0,66.43794096749237
-0.17875000000000002,4847.0,69.62039930939781
-0.15625,5315.0,72.90404652692469
-0.13374999999999998,5736.0,75.73638491504595
-0.11124999999999996,6344.0,79.64923100695951
-0.08875000000000005,6629.0,81.4186710773395
-0.06625000000000009,7150.0,84.55767262643882
-0.04375000000000007,7735.0,87.94884877018005
-0.021250000000000047,8149.0,90.27181176868004
0.0012499999999999734,8687.0,93.20407716403827
0.023749999999999993,8814.0,93.8829057922687
0.04624999999999996,9292.0,96.39502061828712
0.06874999999999992,9423.0,97.07213812418061
0.09125,9603.0,97.99489782636645
0.11375000000000002,9620.0,98.08159868191383
0.13624999999999998,9370.0,96.79876032264049
0.15875,9095.0,95.36770941990795
0.18125000000000008,8941.0,94.5568612000208
0.2037500000000001,8675.0,93.13968005098579
0.22625000000000006,8164.0,90.35485598461214
0.24875000000000008,7756.0,88.06815542521599
0.27125,7280.0,85.32291603080617
0.2937499999999999,6670.0,81.67006795638167
0.3162499999999999,6254.0,79.08223567907018
0.33874999999999994,5610.0,74.89993324429602
0.36124999999999996,5275.0,72.62919523166975
0.38375,4645.0,68.15423684555495
0.40625,4379.0,66.17401302626281
0.42875,3876.0,62.25752966509352
0.45125000000000004,3510.0,59.2452529743945
0.47375000000000006,3115.0,55.812185049503306
0.4962500000000001,2825.0,53.150729063673246
0.51875,2594.0,50.93132631298737
0.54125,2273.0,47.67598976424087
0.56375,2176.0,46.647615158762406
0.5862499999999999,1847.0,42.9767378938886
0.6087499999999999,1633.0,40.4103947023535
0.6312499999999999,1609.0,40.11234224026316
0.65375,1405.0,37.48332962798263
0.67625,1323.0,36.373066958946424
0.69875,1215.0,34.85685011586675
0.72125,1065.0,32.63433774416144
0.7437500000000001,1023.0,31.984371183438952
0.7662500000000001,913.0,30.215889859476256
0.7887500000000001,783.0,27.982137159266443
0.8112500000000001,760.0,27.568097504180443
0.83375,695.0,26.362852652928137
0.8562499999999998,608.0,24.657656011875904
0.8787499999999999,622.0,24.939927826679853
0.90125,579.0,24.06241883103193
0.92375,525.0,22.9128784747792
0.9462499999999999,480.0,21.908902300206645
0.96875,432.0,20.784609690826528
0.99125,384.0,19.595917942265423
1.01375,366.0,19.131126469708992
1.03625,321.0,17.916472867168917
1.05875,302.0,17.378147196982766
1.0812500000000003,279.0,16.703293088490067
1.10375,270.0,16.431676725154983
1.1262499999999998,251.0,15.84297951775486
1.14875,248.0,15.748015748023622
1.17125,205.0,14.317821063276353
1.19375,191.0,13.820274961085254
1.21625,202.0,14.212670403551895
1.23875,175.0,13.228756555322953
