bin_center,counts,errors
-0.49124999999999996,76.0,8.717797887081348
-0.47375,89.0,9.433981132056603
-0.45625,94.0,9.695359714832659
-0.43875,127.0,11.269427669584644
-0.42125,155.0,12.449899597988733
-0.40374999999999994,204.0,14.2828568570857
-0.38625,246.0,15.684387141358123
-0.36874999999999997,338.0,18.384776310850235
-0.35125,534.0,23.108440016582687
-0.33375,918.0,30.298514815086232
-0.31625000000000003,1664.0,40.792156108742276
-0.29875,3296.0,57.41080037762929
-0.28125,7420.0,86.13942186943211
-0.26375,15895.0,126.07537428062626
-0.24625,20668.0,143.76369499981558
-0.22874999999999998,22702.0,150.6718288201215
-0.21124999999999997,23521.0,153.36557632011167
-0.19375,24221.0,155.63097378092831
-0.17625000000000005,24298.0,155.87815754620658
-0.15875000000000003,24208.0,155.58920271021378
-0.14125000000000001,24377.0,156.13135495473034
-0.12375,24151.0,155.40592009315475
-0.10624999999999998,23096.0,151.97368193210298
-0.08875,22295.0,149.3151030539108
-0.07125000000000001,19036.0,137.97101144805745
-0.05374999999999999,11052.0,105.1284928076114
-0.03624999999999998,5416.0,73.59347797189639
-0.01874999999999996,2755.0,52.48809388804284
-0.0012499999999999734,1460.0,38.2099463490856
0.016250000000000014,810.0,28.460498941515414
0.03375000000000003,505.0,22.47220505424423
0.051250000000000046,295.0,17.175564037317667
0.06875000000000006,231.0,15.198684153570664
0.08625000000000008,176.0,13.2664991614216
0.10375000000000004,146.0,12.083045973594572
0.12124999999999997,134.0,11.575836902790225
0.13874999999999998,82.0,9.055385138137417
0.15625,97.0,9.848857801796104
0.17375000000000002,70.0,8.366600265340756
0.19125000000000003,70.0,8.366600265340756
0.20874999999999996,64.0,8.0
0.22624999999999995,55.0,7.416198487095663
0.24374999999999997,56.0,7.483314773547883
0.26125,55.0,7.416198487095663
0.27875,47.0,6.855654600401044
0.29625,43.0,6.557438524302
0.31375,28.0,5.291502622129181
0.33124999999999993,33.0,5.744562646538029
0.34875,40.0,6.324555320336759
0.36625,53.0,7.280109889280518
0.38375,31.0,5.5677643628300215
0.40125,12.0,3.4641016151377544
0.41875000000000007,27.0,5.196152422706632
0.4362500000000001,32.0,5.656854249492381
0.45375000000000004,30.0,5.477225575051661
0.47125000000000006,28.0,5.291502622129181
0.48875,24.0,4.898979485566356
0.5062499999999999,28.0,5.291502622129181
0.5237499999999999,23.0,4.795831523312719
0.54125,32.0,5.656854249492381
0.55875,15.0,3.872983346207417
0.5762499999999999,21.0,4.58257569495584
0.59375,16.0,4.0
0.6112500000000001,16.0,4.0
0.62875,8.0,2.8284271247461903
0.64625,20.0,4.47213595499958
0.6637500000000001,15.0,3.872983346207417
0.6812500000000001,14.0,3.7416573867739413
0.69875,7.0,2.6457513110645907
0.7162499999999999,11.0,3.3166247903554
0.7337499999999999,15.0,3.872983346207417
0.75125,11.0,3.3166247903554
0.7687499999999999,15.0,3.872983346207417
0.78625,15.0,3.872983346207417
0.80375,12.0,3.4641016151377544
0.82125,8.0,2.8284271247461903
0.83875,18.0,4.242640687119285
0.8562500000000001,6.0,2.449489742783178
0.87375,12.0,3.4641016151377544
0.8912500000000001,11.0,3.3166247903554
0.9087500000000002,5.0,2.23606797749979
0.92625,12.0,3.4641016151377544
0.9437499999999999,11.0,3.3166247903554
0.9612499999999999,2.0,1.4142135623730951
0.97875,7.0,2.6457513110645907
0.99625,5.0,2.23606797749979
1.01375,10.0,3.1622776601683795
1.03125,7.0,2.6457513110645907
1.04875,10.0,3.1622776601683795
1.0662500000000001,7.0,2.6457513110645907
1.08375,7.0,2.6457513110645907
1.10125,8.0,2.8284271247461903
1.1187500000000001,5.0,2.23606797749979
1.13625,4.0,2.0
1.15375,13.0,3.605551275463989
1.1712500000000001,7.0,2.6457513110645907
1.1887499999999998,4.0,2.0
1.2062499999999998,6.0,2.449489742783178
1.22375,3.0,1.7320508075688772
1.24125,6.0,2.449489742783178
