#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	xbj	fan_mean	boilcorr	# Comments
25308	08/26	19:12	10.6716	25	Al	-3.642	16.750	+3.632	10.305	-1,-1,-1,0,-1,-1	HMSDIS	22249.724	-1.0	+1.0	0.995	2089369	2100180	0.9985	+1.006684	7.030	3.298	0.031	0.250	33.9023	1.0	# 0
25472	08/30	20:45	10.6716	18	Al	+3.642	16.750	+2.615	10.315	-1,-1,-1,1,-1,-1	HMSDIS	34597.401	-1.0	+2.0	0.996	1263267	2537712	0.9891	+2.030986	7.030	3.298	0.031	0.250	45.829	1.0	# 0
