runnum,gooddis,normyield	date	start_time	beam_energy	target	hms_p	hms_th	shms_p	shms_th	prescales	comments
24306,214813,18.8818	07/28	06:52	8.565	20	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24307,119979,19.0286	07/28	07:06	8.565	10	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24308,74430,19.0447	07/28	07:19	8.565	7	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24309,49822,19.0689	07/28	07:30	8.565	3	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24319,161829,27.8783	07/28	13:46	8.565	7	LD2	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1
24333,92706,14.807	07/28	20:48	8.565	10	LH2	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1
24340,176723,10.4257	07/29	01:00	8.565	20	Dummy	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1
24350,184426,19.0154	07/29	06:11	8.565	13	Carbon	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1
24361,168039,16.7443	07/29	12:06	8.565	28	Copper	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1
24373,228403,5.85398	07/29	18:33	8.565	25	Aluminum	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1
24375,23151,1.34542	07/29	19:05	8.565	25	Aluminum	-1.531	29.05	+3.632	7.87	-1,-1,3,-1,-1,-1
24438,193652,27.3708	08/01	03:08	8.565	8	LD2	-1.531	29.05	+2.615	7.87	-1,-1,-1,0,-1,-1
24440,19729,3.19933	08/01	03:28	8.565	8	LD2	-1.531	29.05	+2.615	7.87	-1,-1,4,-1,-1,-1
24455,94413,14.9381	08/01	14:56	8.565	8	LH2	-1.531	29.05	+2.615	7.87	-1,-1,-1,0,-1,-1
24456,31711,3.45896	08/01	15:11	8.565	8	LH2	-1.531	29.05	+2.615	7.87	-1,-1,3,-1,-1,-1
24465,86674,10.4604	08/01	18:20	8.565	10	Dummy	-1.531	29.05	+2.615	7.87	-1,-1,-1,0,-1,-1
24466,17774,2.39445	08/01	18:39	8.565	10	Dummy	-1.531	29.05	+2.615	7.87	-1,-1,3,-1,-1,-1
24481,97143,18.8955	08/02	01:54	8.565	6	Carbon	-1.531	29.05	+2.615	7.87	-1,-1,-1,0,-1,-1
24482,26262,22.0977	08/02	02:35	8.565	6	Carbon	-1.531	29.05	+2.615	7.87	-1,-1,0,-1,-1,-1
24483,19678,4.37415	08/02	02:49	8.565	6	Carbon	-1.531	29.05	+2.615	7.87	-1,-1,3,-1,-1,-1
24495,80541,16.5652	08/02	08:18	8.565	6	Copper	-1.531	29.05	+2.615	7.87	-1,-1,-1,0,-1,-1
24496,25639,24.699	08/02	09:09	8.565	6	Copper	-1.531	29.05	+2.615	7.87	-1,-1,0,-1,-1,-1
24498,16855,3.89576	08/02	09:47	8.565	6	Copper	-1.531	29.05	+2.615	7.87	-1,-1,3,-1,-1,-1
24537,1814,0.505681	08/03	12:09	8.565	35	LD2	+1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1
24541,23890,0.870936	08/03	14:11	8.565	35	LD2	+1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1
24544,20001,0.411189	08/03	15:17	8.565	50	LH2	+1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1
24546,28123,0.99417	08/03	16:11	8.565	40	Dummy	+1.531	29.05	+6.538	7.87	-1,-1,-1,0,-1,-1
24549,28081,0.659892	08/03	17:02	8.565	50	Carbon	+1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1
24551,42336,0.93401	08/03	18:00	8.565	50	Copper	+1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1
24573,18170,0.874311	08/04	11:16	8.565	35	LD2	+1.531	29.05	-6.538	7.87	-1,-1,-1,2,-1,-1
24575,16793,0.641436	08/04	12:21	8.565	35	LH2	+1.531	29.05	-6.538	7.87	-1,-1,-1,1,-1,-1
24577,15181,0.513131	08/04	13:18	8.565	40	Dummy	+1.531	29.05	-6.538	7.87	-1,-1,-1,1,-1,-1
24579,22821,0.999556	08/04	14:09	8.565	35	Carbon	+1.531	29.05	-6.538	7.87	-1,-1,-1,1,-1,-1
24581,36668,1.43742	08/04	15:03	8.565	35	Copper	+1.531	29.05	-6.538	7.87	-1,-1,-1,1,-1,-1
24626,236380,8.63287	08/07	02:00	8.565	40	LD2	-1.531	29.05	+3.632	11.07	-1,-1,-1,2,-1,-1
24637,333635,6.91295	08/07	08:44	8.565	16	LH2	-1.531	29.05	+3.632	11.07	-1,-1,-1,1,-1,-1
24644,313907,10.2532	08/07	21:29	8.565	40	Dummy	-1.531	29.05	+3.632	11.07	-1,-1,-1,0,-1,-1
24652,224891,5.90347	08/08	01:45	8.565	48	Carbon	-1.531	29.05	+3.632	11.07	-1,-1,-1,2,-1,-1
24663,284054,7.8729	08/08	07:29	8.565	48	Copper	-1.531	29.05	+3.632	11.07	-1,-1,-1,1,-1,-1
24705,296052,6.81918	08/09	11:04	8.565	55	LH2	-1.531	29.05	-3.632	11.07	-1,-1,-1,1,-1,-1
24711,184926,4.97264	08/09	14:43	8.565	40	Dummy	-1.531	29.05	-3.632	11.07	-1,-1,-1,1,-1,-1
24750,348488,6.83963	08/10	19:44	8.565	55	LH2	-1.531	29.05	-3.632	14.37	-1,-1,-1,1,-1,-1
24763,189205,4.94679	08/11	02:25	8.565	40	Dummy	-1.531	29.05	-3.632	14.37	-1,-1,-1,-1,-1,-1
24792,395349,13.6456	08/11	20:33	8.565	55	LH2	-1.531	29.05	+3.632	14.37	-1,-1,-1,0,-1,-1
24800,329682,10.3993	08/12	00:17	8.565	40	Dummy	-1.531	29.05	+3.632	14.37	-1,-1,-1,0,-1,-1
24847,19174,2.01847	08/13	07:37	8.565	20	Carbon	+1.531	29.05	-5.265	12.00	-1,-1,-1,0,-1,-1
24848,28275,1.00136	08/13	07:59	8.565	40	Carbon	+1.531	29.05	-5.265	12.00	-1,-1,-1,1,-1,-1
24884,684553,35.1169	08/14	17:52	10.67	40	LD2	-3.642	16.75	+6.538	7.51	-1,-1,-1,3,-1,-1
24891,808427,18.5684	08/15	00:38	10.67	55	LH2	-3.642	16.75	+6.538	7.51	-1,-1,-1,3,-1,-1
24895,758802,24.0314	08/15	02:39	10.67	40	Dummy	-3.642	16.75	+6.538	7.51	-1,-1,-1,2,-1,-1
24900,611751,12.2215	08/15	05:53	10.67	50	Carbon	-3.642	16.75	+6.538	7.51	-1,-1,-1,4,-1,-1
24906,217638,17.2613	08/15	12:18	10.67	50	Copper	-3.642	16.75	+6.538	7.51	-1,-1,-1,3,-1,-1
24911,742005,98.231	08/15	16:00	10.67	9.5	LD2	-3.642	16.75	+4.868	7.51	-1,-1,-1,1,-1,-1
24922,770279,32.9215	08/15	22:47	10.67	38	LH2	-3.642	16.75	+4.868	7.51	-1,-1,-1,2,-1,-1
24925,648987,23.8018	08/16	00:23	10.67	40	Dummy	-3.642	16.75	+4.868	7.51	-1,-1,-1,0,-1,-1
24931,705480,22.8006	08/16	13:12	10.67	35	Carbon	-3.642	16.75	+4.868	7.51	-1,-1,-1,3,-1,-1
