eprime,theta,xbj,q2,w,modelxsec
1.2,29.05,0.187,2.591,3.485,0.0
1.21,29.05,0.189,2.613,3.479,0.029238
1.22,29.05,0.191,2.635,3.473,0.029027
1.23,29.05,0.193,2.656,3.467,0.028839
1.24,29.05,0.194,2.678,3.462,0.028628
1.25,29.05,0.196,2.699,3.456,0.02841
1.26,29.05,0.198,2.721,3.45,0.028224
1.27,29.05,0.2,2.743,3.444,0.02801
1.28,29.05,0.202,2.764,3.438,0.027822
1.29,29.05,0.204,2.786,3.432,0.027606
1.3,29.05,0.205,2.807,3.426,0.02742
1.31,29.05,0.207,2.829,3.42,0.0272
1.32,29.05,0.209,2.851,3.415,0.027015
1.33,29.05,0.211,2.872,3.409,0.026799
1.34,29.05,0.213,2.894,3.403,0.02659
1.35,29.05,0.215,2.915,3.397,0.026391
1.36,29.05,0.217,2.937,3.391,0.026181
1.37,29.05,0.219,2.959,3.385,0.025987
1.38,29.05,0.22,2.98,3.379,0.025774
1.39,29.05,0.222,3.002,3.373,0.025576
1.4,29.05,0.224,3.023,3.367,0.025373
1.41,29.05,0.226,3.045,3.361,0.025174
1.42,29.05,0.228,3.067,3.355,0.024973
1.43,29.05,0.23,3.088,3.349,0.024771
1.44,29.05,0.232,3.11,3.343,0.024574
1.45,29.05,0.234,3.131,3.337,0.024373
1.46,29.05,0.236,3.153,3.331,0.02418
1.47,29.05,0.238,3.175,3.325,0.023985
1.48,29.05,0.24,3.196,3.319,0.023795
1.49,29.05,0.242,3.218,3.313,0.023596
1.5,29.05,0.244,3.239,3.306,0.023412
1.51,29.05,0.246,3.261,3.3,0.023217
1.52,29.05,0.248,3.283,3.294,0.023036
1.53,29.05,0.25,3.304,3.288,0.022845
1.54,29.05,0.252,3.326,3.282,0.02266
1.55,29.05,0.254,3.347,3.276,0.022477
1.56,29.05,0.256,3.369,3.27,0.022298
1.57,29.05,0.258,3.391,3.263,0.022116
1.58,29.05,0.26,3.412,3.257,0.021938
1.59,29.05,0.262,3.434,3.251,0.02176
1.6,29.05,0.264,3.455,3.245,0.021586
1.61,29.05,0.266,3.477,3.239,0.021406
1.62,29.05,0.268,3.499,3.232,0.021236
1.63,29.05,0.27,3.52,3.226,0.021059
1.64,29.05,0.272,3.542,3.22,0.020904
1.65,29.05,0.274,3.563,3.214,0.020716
1.66,29.05,0.276,3.585,3.207,0.02056
1.67,29.05,0.278,3.606,3.201,0.020378
1.68,29.05,0.28,3.628,3.195,0.020214
1.69,29.05,0.282,3.65,3.188,0.02004
1.7,29.05,0.284,3.671,3.182,0.019875
1.71,29.05,0.286,3.693,3.176,0.019703
1.72,29.05,0.288,3.714,3.169,0.019538
1.73,29.05,0.291,3.736,3.163,0.019382
1.74,29.05,0.293,3.758,3.157,0.019199
1.75,29.05,0.295,3.779,3.15,0.019038
1.76,29.05,0.297,3.801,3.144,0.018859
1.77,29.05,0.299,3.822,3.137,0.018695
1.78,29.05,0.301,3.844,3.131,0.018513
1.79,29.05,0.303,3.866,3.124,0.018353
1.8,29.05,0.305,3.887,3.118,0.01818
1.81,29.05,0.308,3.909,3.112,0.018007
1.82,29.05,0.31,3.93,3.105,0.01785
1.83,29.05,0.312,3.952,3.099,0.017662
1.84,29.05,0.314,3.974,3.092,0.017504
1.85,29.05,0.316,3.995,3.085,0.017325
1.86,29.05,0.318,4.017,3.079,0.01716
1.87,29.05,0.321,4.038,3.072,0.016997
1.88,29.05,0.323,4.06,3.066,0.016813
1.89,29.05,0.325,4.082,3.059,0.016655
1.9,29.05,0.327,4.103,3.053,0.016481
1.91,29.05,0.329,4.125,3.046,0.016315
1.92,29.05,0.332,4.146,3.039,0.01615
1.93,29.05,0.334,4.168,3.033,0.015984
1.94,29.05,0.336,4.19,3.026,0.015827
1.95,29.05,0.338,4.211,3.019,0.015664
1.96,29.05,0.341,4.233,3.013,0.015502
1.97,29.05,0.343,4.254,3.006,0.015341
1.98,29.05,0.345,4.276,2.999,0.01519
1.99,29.05,0.347,4.298,2.992,0.015029
2.0,29.05,0.35,4.319,2.986,0.014879
2.01,29.05,0.352,4.341,2.979,0.014722
2.02,29.05,0.354,4.362,2.972,0.014573
2.03,29.05,0.356,4.384,2.965,0.014425
2.04,29.05,0.359,4.406,2.959,0.014272
2.05,29.05,0.361,4.427,2.952,0.01413
2.06,29.05,0.363,4.449,2.945,0.013982
2.07,29.05,0.366,4.47,2.938,0.013834
2.08,29.05,0.368,4.492,2.931,0.013695
2.09,29.05,0.37,4.514,2.924,0.01355
2.1,29.05,0.373,4.535,2.917,0.013406
2.11,29.05,0.375,4.557,2.91,0.013268
2.12,29.05,0.377,4.578,2.904,0.013122
2.13,29.05,0.38,4.6,2.897,0.012979
2.14,29.05,0.382,4.621,2.89,0.012845
2.15,29.05,0.385,4.643,2.883,0.012697
2.16,29.05,0.387,4.665,2.876,0.012557
2.17,29.05,0.389,4.686,2.869,0.012422
2.18,29.05,0.392,4.708,2.862,0.012274
2.19,29.05,0.394,4.729,2.854,0.012139
2.2,29.05,0.397,4.751,2.847,0.011999
2.21,29.05,0.399,4.773,2.84,0.011853
2.22,29.05,0.402,4.794,2.833,0.011719
2.23,29.05,0.404,4.816,2.826,0.011578
2.24,29.05,0.406,4.837,2.819,0.011441
2.25,29.05,0.409,4.859,2.812,0.011302
2.26,29.05,0.411,4.881,2.805,0.011166
2.27,29.05,0.414,4.902,2.797,0.011028
2.28,29.05,0.416,4.924,2.79,0.010892
2.29,29.05,0.419,4.945,2.783,0.010756
2.3,29.05,0.421,4.967,2.776,0.010625
