eprime,theta,xbj,q2,w,modelxsec
1.2,29.05,0.187,2.591,3.485,0.0
1.21,29.05,0.189,2.613,3.479,0.0047851
1.22,29.05,0.191,2.635,3.473,0.0047509
1.23,29.05,0.193,2.656,3.467,0.0047151
1.24,29.05,0.194,2.678,3.462,0.004684
1.25,29.05,0.196,2.699,3.456,0.0046493
1.26,29.05,0.198,2.721,3.45,0.0046193
1.27,29.05,0.2,2.743,3.444,0.004584
1.28,29.05,0.202,2.764,3.438,0.0045538
1.29,29.05,0.204,2.786,3.432,0.0045182
1.3,29.05,0.205,2.807,3.426,0.0044882
1.31,29.05,0.207,2.829,3.42,0.0044533
1.32,29.05,0.209,2.851,3.415,0.0044188
1.33,29.05,0.211,2.872,3.409,0.0043884
1.34,29.05,0.213,2.894,3.403,0.0043532
1.35,29.05,0.215,2.915,3.397,0.0043222
1.36,29.05,0.217,2.937,3.391,0.0042879
1.37,29.05,0.219,2.959,3.385,0.0042569
1.38,29.05,0.22,2.98,3.379,0.0042235
1.39,29.05,0.222,3.002,3.373,0.0041922
1.4,29.05,0.224,3.023,3.367,0.0041591
1.41,29.05,0.226,3.045,3.361,0.0041278
1.42,29.05,0.228,3.067,3.355,0.004094
1.43,29.05,0.23,3.088,3.349,0.004064
1.44,29.05,0.232,3.11,3.343,0.0040312
1.45,29.05,0.234,3.131,3.337,0.0040003
1.46,29.05,0.236,3.153,3.331,0.0039684
1.47,29.05,0.238,3.175,3.325,0.0039382
1.48,29.05,0.24,3.196,3.319,0.0039072
1.49,29.05,0.242,3.218,3.313,0.0038772
1.5,29.05,0.244,3.239,3.306,0.0038469
1.51,29.05,0.246,3.261,3.3,0.0038179
1.52,29.05,0.248,3.283,3.294,0.0037876
1.53,29.05,0.25,3.304,3.288,0.0037595
1.54,29.05,0.252,3.326,3.282,0.0037301
1.55,29.05,0.254,3.347,3.276,0.0037024
1.56,29.05,0.256,3.369,3.27,0.0036726
1.57,29.05,0.258,3.391,3.263,0.0036462
1.58,29.05,0.26,3.412,3.257,0.0036167
1.59,29.05,0.262,3.434,3.251,0.003591
1.6,29.05,0.264,3.455,3.245,0.0035633
1.61,29.05,0.266,3.477,3.239,0.0035367
1.62,29.05,0.268,3.499,3.232,0.003509
1.63,29.05,0.27,3.52,3.226,0.0034824
1.64,29.05,0.272,3.542,3.22,0.0034556
1.65,29.05,0.274,3.563,3.214,0.0034293
1.66,29.05,0.276,3.585,3.207,0.0034048
1.67,29.05,0.278,3.606,3.201,0.0033771
1.68,29.05,0.28,3.628,3.195,0.0033527
1.69,29.05,0.282,3.65,3.188,0.0033249
1.7,29.05,0.284,3.671,3.182,0.0032993
1.71,29.05,0.286,3.693,3.176,0.003273
1.72,29.05,0.288,3.714,3.169,0.0032472
1.73,29.05,0.291,3.736,3.163,0.0032208
1.74,29.05,0.293,3.758,3.157,0.003195
1.75,29.05,0.295,3.779,3.15,0.0031682
1.76,29.05,0.297,3.801,3.144,0.0031426
1.77,29.05,0.299,3.822,3.137,0.0031185
1.78,29.05,0.301,3.844,3.131,0.0030897
1.79,29.05,0.303,3.866,3.124,0.0030648
1.8,29.05,0.305,3.887,3.118,0.0030361
1.81,29.05,0.308,3.909,3.112,0.0030113
1.82,29.05,0.31,3.93,3.105,0.0029844
1.83,29.05,0.312,3.952,3.099,0.0029575
1.84,29.05,0.314,3.974,3.092,0.0029332
