; relder@ifarm2402:dis_xec--❯  ./calc_dis_xsec 
;  Enter theta (deg.),  minimum Eprime (GeV),Eprime-step, # of Eprime bins
; 29.05,1.2,0.01,381
;  Enter input filename (assumed to be in infiles dir)
; hmsdis_4pass_cu
;  ../../infiles/hmsdis_4pass_cu.inp                                               opened
;       8583.1       ebeam in MeV
;       381        number of momentum bins in RC table
;       128        number of theta bins in RC table
;       rsidis_4pass_copper25_hms.out    RC table name
;  Radiative corrections file in input file
;  opening ../../rctables/rsidis_4pass_copper25_hms.out                                    
;  number of momentum bins - RAD1         381
;  number of theta bins - RAD1         128
;  Eprime   theta     xBj      Q2       W        Cross section (ub/GeV/sr)
 2.040    29.050    0.359    4.406    2.959    0.73593E-01
 2.050    29.050    0.361    4.427    2.952    0.72805E-01
 2.060    29.050    0.363    4.449    2.945    0.72047E-01
 2.070    29.050    0.366    4.470    2.938    0.71262E-01
 2.080    29.050    0.368    4.492    2.931    0.70485E-01
 2.090    29.050    0.370    4.514    2.924    0.69740E-01
 2.100    29.050    0.373    4.535    2.917    0.68970E-01
 2.110    29.050    0.375    4.557    2.910    0.68190E-01
 2.120    29.050    0.377    4.578    2.904    0.67471E-01
 2.130    29.050    0.380    4.600    2.897    0.66696E-01
 2.140    29.050    0.382    4.621    2.890    0.65957E-01
 2.150    29.050    0.385    4.643    2.883    0.65224E-01
 2.160    29.050    0.387    4.665    2.876    0.64439E-01
 2.170    29.050    0.389    4.686    2.869    0.63706E-01
 2.180    29.050    0.392    4.708    2.862    0.62967E-01
 2.190    29.050    0.394    4.729    2.854    0.62240E-01
 2.200    29.050    0.397    4.751    2.847    0.61468E-01
 2.210    29.050    0.399    4.773    2.840    0.60730E-01
 2.220    29.050    0.402    4.794    2.833    0.59991E-01
 2.230    29.050    0.404    4.816    2.826    0.59249E-01
 2.240    29.050    0.406    4.837    2.819    0.58521E-01
 2.250    29.050    0.409    4.859    2.812    0.57780E-01
 2.260    29.050    0.411    4.881    2.805    0.57054E-01
 2.270    29.050    0.414    4.902    2.797    0.56329E-01
 2.280    29.050    0.416    4.924    2.790    0.55621E-01
 2.290    29.050    0.419    4.945    2.783    0.54920E-01
 2.300    29.050    0.421    4.967    2.776    0.54189E-01
 2.310    29.050    0.424    4.989    2.768    0.53497E-01
 2.320    29.050    0.426    5.010    2.761    0.52822E-01
 2.330    29.050    0.429    5.032    2.754    0.52148E-01
 2.340    29.050    0.431    5.053    2.746    0.51450E-01
 2.350    29.050    0.434    5.075    2.739    0.50786E-01
 2.360    29.050    0.436    5.097    2.732    0.50128E-01
 2.370    29.050    0.439    5.118    2.724    0.49475E-01
 2.380    29.050    0.442    5.140    2.717    0.48841E-01
 2.390    29.050    0.444    5.161    2.709    0.48185E-01
 2.400    29.050    0.447    5.183    2.702    0.47536E-01
 2.410    29.050    0.449    5.205    2.694    0.46913E-01
 2.420    29.050    0.452    5.226    2.687    0.46291E-01
 2.430    29.050    0.454    5.248    2.679    0.45661E-01
 2.440    29.050    0.457    5.269    2.672    0.45047E-01
 2.450    29.050    0.460    5.291    2.664    0.44409E-01
 2.460    29.050    0.462    5.313    2.657    0.43809E-01
 2.470    29.050    0.465    5.334    2.649    0.43196E-01
 2.480    29.050    0.468    5.356    2.641    0.42587E-01
 2.490    29.050    0.470    5.377    2.634    0.41988E-01
 2.500    29.050    0.473    5.399    2.626    0.41384E-01
 2.510    29.050    0.476    5.421    2.618    0.40754E-01
 2.520    29.050    0.478    5.442    2.611    0.40163E-01
 2.530    29.050    0.481    5.464    2.603    0.39570E-01
 2.540    29.050    0.484    5.485    2.595    0.38979E-01
 2.550    29.050    0.486    5.507    2.587    0.38389E-01
 2.560    29.050    0.489    5.529    2.580    0.37805E-01
 2.570    29.050    0.492    5.550    2.572    0.37206E-01
 2.580    29.050    0.495    5.572    2.564    0.36636E-01
 2.590    29.050    0.497    5.593    2.556    0.36072E-01
 2.600    29.050    0.500    5.615    2.548    0.35518E-01
 2.610    29.050    0.503    5.636    2.540    0.34962E-01
 2.620    29.050    0.506    5.658    2.532    0.34399E-01
 2.630    29.050    0.508    5.680    2.524    0.33848E-01
 2.640    29.050    0.511    5.701    2.516    0.33307E-01
 2.650    29.050    0.514    5.723    2.508    0.32782E-01
 2.660    29.050    0.517    5.744    2.500    0.32256E-01
 2.670    29.050    0.520    5.766    2.492    0.31735E-01
 2.680    29.050    0.522    5.788    2.484    0.31217E-01
 2.690    29.050    0.525    5.809    2.476    0.30703E-01
 2.700    29.050    0.528    5.831    2.468    0.30196E-01
 2.710    29.050    0.531    5.852    2.459    0.29700E-01
 2.720    29.050    0.534    5.874    2.451    0.29203E-01
 2.730    29.050    0.537    5.896    2.443    0.28701E-01
 2.740    29.050    0.540    5.917    2.435    0.28190E-01
 2.750    29.050    0.543    5.939    2.426    0.27698E-01
 2.760    29.050    0.545    5.960    2.418    0.27210E-01
 2.770    29.050    0.548    5.982    2.410    0.26725E-01
 2.780    29.050    0.551    6.004    2.401    0.26247E-01
 2.790    29.050    0.554    6.025    2.393    0.25770E-01
 2.800    29.050    0.557    6.047    2.384    0.25299E-01
 2.810    29.050    0.560    6.068    2.376    0.24832E-01
 2.820    29.050    0.563    6.090    2.368    0.24370E-01
 2.830    29.050    0.566    6.112    2.359    0.23916E-01
 2.840    29.050    0.569    6.133    2.350    0.23465E-01
 2.850    29.050    0.572    6.155    2.342    0.23021E-01
 2.860    29.050    0.575    6.176    2.333    0.22581E-01
 2.870    29.050    0.578    6.198    2.324    0.22148E-01
 2.880    29.050    0.581    6.220    2.316    0.21719E-01
 2.890    29.050    0.584    6.241    2.307    0.21295E-01
 2.900    29.050    0.587    6.263    2.298    0.20877E-01
 2.910    29.050    0.590    6.284    2.290    0.20464E-01
 2.920    29.050    0.593    6.306    2.281    0.20054E-01
 2.930    29.050    0.596    6.328    2.272    0.19648E-01
 2.940    29.050    0.600    6.349    2.263    0.19246E-01
 2.950    29.050    0.603    6.371    2.254    0.18861E-01
 2.960    29.050    0.606    6.392    2.245    0.18466E-01
 2.970    29.050    0.609    6.414    2.236    0.18075E-01
 2.980    29.050    0.612    6.436    2.227    0.17697E-01
 2.990    29.050    0.615    6.457    2.218    0.17317E-01
