eprime,theta,xbj,q2,w,modelxsec
1.2,29.05,0.187,2.591,3.485,0.0
1.21,29.05,0.189,2.613,3.479,0.0052818
1.22,29.05,0.191,2.635,3.473,0.0052486
1.23,29.05,0.193,2.656,3.467,0.0052156
1.24,29.05,0.194,2.678,3.462,0.0051828
1.25,29.05,0.196,2.699,3.456,0.0051502
1.26,29.05,0.198,2.721,3.45,0.0051178
1.27,29.05,0.2,2.743,3.444,0.0050856
1.28,29.05,0.202,2.764,3.438,0.0050535
1.29,29.05,0.204,2.786,3.432,0.0050217
1.3,29.05,0.205,2.807,3.426,0.00499
1.31,29.05,0.207,2.829,3.42,0.0049585
1.32,29.05,0.209,2.851,3.415,0.0049272
1.33,29.05,0.211,2.872,3.409,0.004896
1.34,29.05,0.213,2.894,3.403,0.004865
1.35,29.05,0.215,2.915,3.397,0.0048342
1.36,29.05,0.217,2.937,3.391,0.0048035
1.37,29.05,0.219,2.959,3.385,0.0047729
1.38,29.05,0.22,2.98,3.379,0.0047425
1.39,29.05,0.222,3.002,3.373,0.0047122
1.4,29.05,0.224,3.023,3.367,0.0046821
1.41,29.05,0.226,3.045,3.361,0.004652
1.42,29.05,0.228,3.067,3.355,0.0046222
1.43,29.05,0.23,3.088,3.349,0.0045924
1.44,29.05,0.232,3.11,3.343,0.0045628
1.45,29.05,0.234,3.131,3.337,0.0045334
1.46,29.05,0.236,3.153,3.331,0.0045039
1.47,29.05,0.238,3.175,3.325,0.0044746
1.48,29.05,0.24,3.196,3.319,0.0044455
1.49,29.05,0.242,3.218,3.313,0.0044165
1.5,29.05,0.244,3.239,3.306,0.0043875
1.51,29.05,0.246,3.261,3.3,0.0043587
1.52,29.05,0.248,3.283,3.294,0.0043299
1.53,29.05,0.25,3.304,3.288,0.0043013
1.54,29.05,0.252,3.326,3.282,0.0042728
1.55,29.05,0.254,3.347,3.276,0.0042444
1.56,29.05,0.256,3.369,3.27,0.004216
1.57,29.05,0.258,3.391,3.263,0.0041878
1.58,29.05,0.26,3.412,3.257,0.0041596
1.59,29.05,0.262,3.434,3.251,0.0041316
1.6,29.05,0.264,3.455,3.245,0.0041035
1.61,29.05,0.266,3.477,3.239,0.0040756
1.62,29.05,0.268,3.499,3.232,0.0040478
1.63,29.05,0.27,3.52,3.226,0.00402
1.64,29.05,0.272,3.542,3.22,0.0039923
1.65,29.05,0.274,3.563,3.214,0.0039648
1.66,29.05,0.276,3.585,3.207,0.0039373
1.67,29.05,0.278,3.606,3.201,0.0039098
1.68,29.05,0.28,3.628,3.195,0.0038824
1.69,29.05,0.282,3.65,3.188,0.0038551
1.7,29.05,0.284,3.671,3.182,0.0038279
1.71,29.05,0.286,3.693,3.176,0.0038007
1.72,29.05,0.288,3.714,3.169,0.0037736
1.73,29.05,0.291,3.736,3.163,0.0037466
1.74,29.05,0.293,3.758,3.157,0.0037196
1.75,29.05,0.295,3.779,3.15,0.0036927
1.76,29.05,0.297,3.801,3.144,0.0036658
1.77,29.05,0.299,3.822,3.137,0.0036391
1.78,29.05,0.301,3.844,3.131,0.0036124
1.79,29.05,0.303,3.866,3.124,0.0035857
1.8,29.05,0.305,3.887,3.118,0.0035591
1.81,29.05,0.308,3.909,3.112,0.0035325
1.82,29.05,0.31,3.93,3.105,0.0035061
1.83,29.05,0.312,3.952,3.099,0.0034797
1.84,29.05,0.314,3.974,3.092,0.0034532
1.85,29.05,0.316,3.995,3.085,0.0034269
1.86,29.05,0.318,4.017,3.079,0.0034006
1.87,29.05,0.321,4.038,3.072,0.0033745
1.88,29.05,0.323,4.06,3.066,0.0033483
1.89,29.05,0.325,4.082,3.059,0.0033221
1.9,29.05,0.327,4.103,3.053,0.0032961
1.91,29.05,0.329,4.125,3.046,0.0032701
1.92,29.05,0.332,4.146,3.039,0.0032441
1.93,29.05,0.334,4.168,3.033,0.0032182
1.94,29.05,0.336,4.19,3.026,0.0031923
1.95,29.05,0.338,4.211,3.019,0.0031665
1.96,29.05,0.341,4.233,3.013,0.0031408
1.97,29.05,0.343,4.254,3.006,0.0031151
1.98,29.05,0.345,4.276,2.999,0.0030894
1.99,29.05,0.347,4.298,2.992,0.0030638
2.0,29.05,0.35,4.319,2.986,0.0030382
2.01,29.05,0.352,4.341,2.979,0.0030127
2.02,29.05,0.354,4.362,2.972,0.0029872
