runnum,run_type,target,phase,xbj,q2,ebeam,ibeam_1,ibeam_2,ibeam_4a,ibeam_4c,qbeam_1,qbeam_2,qbeam_4a,qbeam_4c,hms_p,hms_th,hms_th_rad,ps3,ps4,trackeff,nu,boil_corr,epsilon,weight,3of4_rate,3of4_counts,elclean_rate,elclean_counts
24027,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,9.89,9.952,9.86,9.832,10603.442,10669.53,10571.218,10541.289,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.003476,0.011528907008166632,1.0036767353470695,,30.307,0.382,409986.0
24044,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,17.065,17.118,17.07,17.06,14561.666,14607.298,14571.957,14557.787,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0003500925218798,,30.848,0.448,382048.0
24052,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,19.791,19.845,19.78,19.78,16307.255,16351.526,16297.775,16303.69,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0002000400080016,,32.287,0.458,377396.0
24083,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,29.737,29.773,29.78,29.78,25314.12,25344.894,25353.544,25358.483,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.012801,0.011528907008166632,1.0154203010366112,,31.726,0.602,512685.0
24118,HMSDIS,Dummy,I,0.24975789710096158,3.3051904135289774,8.5831,19.89,19.936,19.78,19.73,15220.998,15255.971,15139.402,15101.515,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.0,0.011528907008166632,1.000300090027008,,19.774,0.289,221195.0
24136,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,10.224,10.276,10.25,10.25,10383.751,10436.525,10414.599,10417.196,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.003739,0.011528907008166632,1.0046128413832074,,10.985,0.207,209820.0
24142,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,11.957,12.007,11.97,11.96,11617.34,11666.041,11637.373,11620.968,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.0,0.011528907008166632,1.000300090027008,,21.637,0.314,305156.0
24148,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,15.133,15.176,15.14,15.12,13494.288,13532.61,13505.75,13484.584,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0002000400080016,,24.739,0.351,313302.0
24183,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,29.99,30.044,29.9,29.82,24348.861,24392.506,24276.62,24211.982,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.01288,0.011528907008166632,1.0130826165233047,,31.867,0.604,490762.0
24184,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,10.336,10.394,10.33,10.32,9508.093,9562.031,9507.728,9499.364,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.003789,0.011528907008166632,1.0046528326544069,,11.123,0.21,192848.0
24198,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,16.404,16.448,16.28,16.22,11746.828,11778.085,11662.4,11619.769,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.006315,0.011528907008166632,1.0066169850955287,,17.622,0.334,239025.0
24205,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,24.255,24.296,24.09,24.03,14016.823,14040.806,13924.276,13887.468,-1.531,29.045,0.506930881241753,-1.0,2.0,0.9998,7.0521,1.008487,0.011528907008166632,2.0199225779433077,,73.764,0.944,545464.0
24209,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,47.489,47.583,47.5,47.34,40281.449,40361.802,40292.436,40159.264,-1.531,29.045,0.506930881241753,-1.0,3.0,0.9997,7.0521,1.0,0.011528907008166632,3.003874105445415,,85.949,1.257,1066168.0
24212,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,36.08,36.148,36.12,35.97,26385.966,26435.735,26420.822,26307.366,-1.531,29.045,0.506930881241753,-1.0,3.0,0.9996,7.0521,1.0,0.011528907008166632,3.0012004801920766,,58.613,0.84,614303.0
24221,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,12.018,12.076,12.05,12.01,9156.397,9200.484,9183.215,9153.888,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.004218,0.011528907008166632,1.0079568121875335,,36.867,0.47,358272.0
24231,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,17.088,17.139,17.1,17.05,14456.89,14500.744,14471.161,14432.679,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0065,0.011528907008166632,1.0070034413004436,,18.326,0.348,294316.0
24235,HMSDIS,Dummy,I,0.24975789710096158,3.3051904135289774,8.5831,20.293,20.34,20.24,20.17,18792.618,18835.862,18748.754,18679.369,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0005402236840542,,20.19,0.296,274087.0
24242,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,24.648,24.697,24.52,24.43,18160.989,18196.611,18070.84,18006.982,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9997,7.0521,1.0,0.011528907008166632,1.0073414064581505,,44.573,0.652,480499.0
24249,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,46.202,46.306,46.19,46.02,34752.815,34831.173,34744.431,34619.3,-1.531,29.045,0.506930881241753,-1.0,2.0,0.9997,7.0521,1.0,0.011528907008166632,2.001400740350156,,74.657,1.073,807283.0
24256,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,35.642,35.7,35.65,35.56,26704.264,26747.404,26713.788,26644.317,-1.531,29.045,0.506930881241753,-1.0,3.0,0.9997,7.0521,1.01247,0.011528907008166632,3.042154611259121,,107.963,1.389,1040316.0
24265,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,17.299,17.354,17.35,17.3,15260.736,15310.018,15310.786,15265.868,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.006683,0.011528907008166632,1.0080940897831148,,18.563,0.353,311328.0
24284,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,49.023,49.112,48.76,48.51,39316.698,39388.08,39107.307,38905.328,-1.531,29.045,0.506930881241753,-1.0,5.0,0.9996,7.0521,1.017155,0.011528907008166632,5.08781012404962,,148.157,1.915,1535610.0
24285,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,40.248,40.299,39.89,39.72,25251.556,25283.312,25029.169,24920.399,-1.531,29.045,0.506930881241753,-1.0,3.0,0.9997,7.0521,1.014076,0.011528907008166632,3.0448765219001674,,121.845,1.569,984174.0
24286,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,30.182,30.226,29.87,29.72,27206.352,27245.704,26927.573,26791.389,-1.531,29.045,0.506930881241753,-1.0,3.0,0.9996,7.0521,1.010558,0.011528907008166632,3.0328871548619447,,91.683,1.179,1062337.0
24287,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,19.349,19.396,19.15,19.05,19747.34,19796.196,19546.589,19444.963,-1.531,29.045,0.506930881241753,-1.0,2.0,0.9998,7.0521,1.006775,0.011528907008166632,2.0139527905581116,,59.111,0.757,772397.0
